country,iso3,rcc
Algeria,DZA,Northern
Angola,AGO,Southern
Benin,BEN,Western
Botswana,BWA,Southern
Burkina Faso,BFA,Western
Burundi,BDI,Eastern
Cameroon,CMR,Central
Cape Verde,CPV,Western
Central African Republic,CAF,Central
Chad,TCD,Central
Comoros,COM,Eastern
Congo Republic,COG,Central
Democratic Republic of the Congo,COD,Central
Cote d'Ivoire,CIV,Western
Djibouti,DJI,Eastern
Egypt,EGY,Northern
Equatorial Guinea,GNQ,Central
Eritrea,ERI,Eastern
Eswatini,SWZ,Southern
Ethiopia,ETH,Eastern
Gabon,GAB,Central
Gambia,GMB,Western
Ghana,GHA,Western
Guinea,GIN,Western
Guinea-Bissau,GNB,Western
Kenya,KEN,Eastern
Lesotho,LSO,Southern
Liberia,LBR,Western
Libya,LBY,Northern
Madagascar,MDG,Southern
Malawi,MWI,Southern
Mali,MLI,Western
Mauritania,MRT,Northern
Mauritius,MUS,Southern
Morocco,MAR,Northern
Mozambique,MOZ,Southern
Namibia,NAM,Southern
Niger,NER,Western
Nigeria,NGA,Western
Rwanda,RWA,Eastern
Sahrawi Arab Democratic Republic,ESH,Northern
Sao Tome and Principe,STP,Central
Senegal,SEN,Western
Seychelles,SYC,Eastern
Sierra Leone,SLE,Western
Somalia,SOM,Eastern
South Africa,ZAF,Southern
South Sudan,SSD,Eastern
Sudan,SDN,Eastern
Tanzania,TZA,Eastern
Togo,TGO,Western
Tunisia,TUN,Northern
Uganda,UGA,Eastern
Zambia,ZMB,Southern
Zimbabwe,ZWE,Southern
